A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.057574969,-0.259735646,0.050415361,-0.020825569,-0.019021255,0.027535043,-0.013461061,0.011256496,-1.516002893,-0.05659358,-0.091798782,-0.056536708,0.01436459,-0.008265314,-0.011427171,-0.007663613,3.157195331,0.055606428,0.234907131,0.009457135,0.079477458,5.28E-05,0.035656255,0.007723693,-0.117214139,0.111865428,-0.080335239,0.111007557,-0.04492452,0.060937461,-0.019355322,0.032368389
-0.144654413,-0.275360676,0.036335675,-0.036640064,-0.014026493,0.029341044,-0.016832788,0.010499794,-1.514780629,-0.027314442,-0.101191441,-0.053000981,0.013272966,-0.018105269,-0.008490866,-0.00814512,3.157796365,0.064004438,0.217699335,0.034372957,0.064320073,0.017839948,0.027845126,0.017821327,-0.307526293,0.102909041,-0.119205913,0.107713393,-0.069187922,0.05868963,-0.033079809,0.022621194
-0.075144703,-0.266989384,0.053687069,-0.02695424,-0.015507005,0.032117691,-0.011936721,0.011346147,-1.517047699,-0.050036227,-0.093754779,-0.059548453,0.013788501,-0.006204159,-0.013315711,-0.00518028,3.157920738,0.05808192,0.230792094,0.016065794,0.078190111,0.003737041,0.036715839,0.012125716,-0.175389741,0.108937984,-0.094587582,0.112052064,-0.054619437,0.060209381,-0.023442342,0.025652687
-0.09675928,-0.271088472,0.050660219,-0.030156465,-0.018718636,0.030948822,-0.014804264,0.006816354,-1.512665888,-0.053914223,-0.08858133,-0.063046534,0.024121386,-0.012486512,-0.009144139,-0.009071314,3.130407472,0.07035829,0.216823168,0.026645574,0.069921557,0.011800368,0.031542564,0.017261852,-0.249262941,0.111225486,-0.117535503,0.114346124,-0.066030099,0.060926553,-0.029174714,0.024950735
-0.125692504,-0.275495614,0.0385673,-0.03608506,-0.012877497,0.028059873,-0.01420298,0.005067546,-1.530150228,-0.028292564,-0.104386743,-0.04669876,0.014431215,-0.014965103,-0.008528706,-0.006547192,3.169372395,0.065831194,0.217736742,0.034340105,0.064477031,0.020130895,0.026805858,0.020852734,-0.309151269,0.105283162,-0.121839252,0.107838903,-0.06801552,0.056585557,-0.031811677,0.021145239
-0.142302686,-0.246052858,0.045563657,-0.01150366,-0.006856132,0.019079488,-0.020988281,0.005499042,-1.755512709,-0.012976765,-0.113826181,-0.033336795,0.003938756,-0.014635169,-0.008978957,-0.003128378,3.247483488,0.050843976,0.213794637,0.033567507,0.058048134,0.014058554,0.022227416,0.013122512,-0.281054582,0.096258477,-0.104617495,0.095989977,-0.068195903,0.049107795,-0.032384311,0.019218368
-0.20113014,-0.232172087,0.056274525,-0.012418492,-0.015641836,0.015004142,-0.023570412,0.00363324,-1.7608606,-0.007649645,-0.110558225,-0.038839287,0.007864986,-0.019390484,-0.006066172,-0.001233392,3.275157304,0.058673237,0.217421742,0.037062562,0.056755699,0.014625643,0.020285791,0.016330014,-0.320315728,0.094261174,-0.117985146,0.092187471,-0.074654323,0.047313077,-0.03336754,0.020802841
-0.187550851,-0.235129082,0.06057895,-0.011650729,-0.019129129,0.018632841,-0.024514785,0.002883512,-1.755238478,-0.018698567,-0.101696999,-0.047201205,0.013924364,-0.019673441,-0.001714637,-0.000376105,3.244447075,0.069276559,0.209423219,0.035189071,0.058301261,0.011125257,0.022488157,0.017442787,-0.314483912,0.104205869,-0.127160621,0.101008792,-0.078618759,0.048782131,-0.031116112,0.018963896
-0.188985312,-0.233949596,0.057181696,-0.009999044,-0.016562463,0.017020109,-0.025214061,0.005157355,-1.752192101,-0.018957545,-0.099584162,-0.043759626,0.014594673,-0.020326359,-0.006113118,-0.001839895,3.233092006,0.065179394,0.210618375,0.034718592,0.060520825,0.009825893,0.02383488,0.015523155,-0.29690149,0.103010659,-0.119101896,0.101294761,-0.075141603,0.049442931,-0.029938344,0.018858981
-0.173232252,-0.250348708,0.05237492,-0.015080999,-0.007340881,0.019219706,-0.023275385,0.011475167,-1.772031305,-0.014748106,-0.110110648,-0.044305447,0.005922131,-0.029522188,-0.000475608,-0.004651357,3.290823571,0.067647888,0.208314876,0.044919595,0.050375333,0.015563586,0.018769885,0.011362696,-0.302169595,0.100671138,-0.1142422,0.102462759,-0.078536552,0.05666829,-0.038325691,0.024637655
-0.096313724,-0.271825277,-0.00292611,-0.014024443,-0.00735529,0.023998379,-0.013105018,0.021849093,-1.6117389,0.023321109,-0.158146195,-0.041023087,-0.015167801,-0.018167217,-0.009736193,-0.006424406,3.278688,0.043633497,0.235673105,0.027002164,0.063043593,0.009974236,0.026391526,0.008476407,-0.240960308,0.083509729,-0.086534895,0.089752064,-0.051836021,0.049452582,-0.02348818,0.018849516
