Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?,Mixed sample?
9000_New_2845_S1_Early_1x1.25_d_c,9000,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,d,c,Y
9001_New_2845_S1_Early_1x1.25_l_c,9001,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,l,c,Y
9003_New_2845_S2_Early_1x1.25_d_c,9003,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,d,c,Y
9004_New_2845_S2_Early_1x1.25_l_c,9004,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,l,c,Y
9021_New_30785_S1_Late_1x1.25_d_c,9021,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,d,c,N
9022_New_30785_S1_Late_1x1.25_l_c,9022,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,l,c,N
9024_New_30785_S2_Late_1x1.25_d_c,9024,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,d,c,N
9025_New_30785_S2_Late_1x1.25_l_c,9025,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,l,c,N
9027_New_30785_S3_Late_1x1.25_d_c,9027,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,d,c,N
9028_New_30785_S3_Late_1x1.25_l_c,9028,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,l,c,N
9036_New_20703_S3_Late_1x1.25_d_c,9036,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,d,c,Y
9037_New_20703_S3_Late_1x1.25_l_c,9037,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,l,c,Y
9048_New_22637_S1_Middle_1x1.25_d_c,9048,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,d,c,N
9049_New_22637_S1_Middle_1x1.25_l_c,9049,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,l,c,N
9057_cf New_5314_S1_Early_1x1.25_d_c,9057,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,d,c,Y
9058_cf New_5314_S1_Early_1x1.25_l_c,9058,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,l,c,Y
9072_Emmer_1442_S1_Middle_1x1.25_d_c,9072,Z6 APO,1x,1.25,535,1442,,Middle,S1,,Arch_Emmer,d,c,Y
9073_Emmer_1442_S1_Middle_1x1.25_l_c,9073,Z6 APO,1x,1.25,535,1442,,Middle,S1,,Arch_Emmer,l,c,Y
9078_Emmer_1255_S4_Middle_1x1.25_d_c,9078,Z6 APO,1x,1.25,78,1255,,Middle,S4,,Arch_Emmer,d,c,Y
9079_Emmer_1255_S4_Middle_1x1.25_l_c,9079,Z6 APO,1x,1.25,78,1255,,Middle,S4,,Arch_Emmer,l,c,Y
9114_Emmer_1255_S5_Middle_1x1.25_d_c,9114,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,d,c,Y
9115_Emmer_1255_S5_Middle_1x1.25_l_c,9115,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,l,c,Y
9117_Emmer_1255_S3_Middle_1x1.25_d_c,9117,Z6 APO,1x,1.25,78,1255,,Middle,S3,,Arch_Emmer,d,c,Y
9118_Emmer_1255_S3_Middle_1x1.25_l_c,9118,Z6 APO,1x,1.25,78,1255,,Middle,S3,,Arch_Emmer,l,c,Y
9120_Emmer_1255_S1_Middle_1x1.25_d_c,9120,Z6 APO,1x,1.25,78,1255,,Middle,S1,,Arch_Emmer,d,c,Y
9121_Emmer_1255_S1_Middle_1x1.25_l_c,9121,Z6 APO,1x,1.25,78,1255,,Middle,S1,,Arch_Emmer,l,c,Y
9138_Emmer_20703_S1_Late_1x1.25_d_c,9138,Z6 APO,1x,1.25,10830,20703,,Late,S1,,Arch_Emmer,d,c,Y
9139_Emmer_20703_S1_Late_1x1.25_l_c,9139,Z6 APO,1x,1.25,10830,20703,,Late,S1,,Arch_Emmer,l,c,Y
9141_Emmer_20703_S3_Late_1x1.25_d_c,9141,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,d,c,Y
9142_Emmer_20703_S3_Late_1x1.25_l_c,9142,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,l,c,Y
9144_Not ID_32837_S3_Late_1x1.25_d_c,9144,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,d,c,Y
9145_Not ID_32837_S3_Late_1x1.25_l_c,9145,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,l,c,Y
9150_Emmer_1099_S1_Early_1x1.25_d_c,9150,Z6 APO,1x,1.25,173,1099,,Early,S1,,Arch_Emmer,d,c,Y
9151_Emmer_1099_S1_Early_1x1.25_l_c,9151,Z6 APO,1x,1.25,173,1099,,Early,S1,,Arch_Emmer,l,c,Y
9156_EmmerORNew_3705_S1_Early_1x1_d_c,9156,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,d,c,Y
9157_EmmerORNew_3705_S1_Early_1x1_l_c,9157,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,l,c,Y
9158_New_22656_S4_Middle_1x1_d_c,9158,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,d,c,N
9159_New_22656_S4_Middle_1x1_l_c,9159,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,l,c,N
9160_New_22656_S5_Middle_1x1_d_c,9160,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,d,c,N
9161_New_22656_S5_Middle_1x1_l_c,9161,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,l,c,N
9162_New_22656_S6_Middle_1x1_d_c,9162,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,d,c,N
9163_New_22656_S6_Middle_1x1_l_c,9163,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,l,c,N
9166_New_22656_S8_Middle_1x1_d_c,9166,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,d,c,N
9167_New_22656_S8_Middle_1x1_l_c,9167,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,l,c,N
9168_New_22656_S9_Middle_1x1_d_c,9168,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,d,c,N
9169_New_22656_S9_Middle_1x1_l_c,9169,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,l,c,N
9174_New_22656_S12_Middle_1x1_d_c,9174,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,d,c,N
9175_New_22656_S12_Middle_1x1_l_c,9175,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,l,c,N
9184_Emmer_20703_S4_Late_1x1_d_c,9184,Nikon,1x,1,10830,20703,,Late,S4,,Arch_Emmer,d,c,Y
9185_Emmer_20703_S4_Late_1x1_l_c,9185,Nikon,1x,1,10830,20703,,Late,S4,,Arch_Emmer,l,c,Y
9186_New_20703_S4_Late_1x1_d_c,9186,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,d,c,Y
9187_New_20703_S4_Late_1x1_l_c,9187,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,l,c,Y
9188_New_20703_S5_Late_1x1_d_c,9188,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,d,c,Y
9189_New_20703_S5_Late_1x1_l_c,9189,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,l,c,Y
9190_New_20703_S6_Late_1x1_d_c,9190,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,d,c,Y
9191_New_20703_S6_Late_1x1_l_c,9191,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,l,c,Y
9192_New_20703_S7_Late_1x1_d_c,9192,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,d,c,Y
9193_New_20703_S7_Late_1x1_l_c,9193,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,l,c,Y
9194_New_20703_S8_Late_1x1_d_c,9194,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,d,c,Y
9195_New_20703_S8_Late_1x1_l_c,9195,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,l,c,Y
9200_New_20703_S11_Late_1x1_d_c,9200,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,d,c,Y
9201_New_20703_S11_Late_1x1_l_c,9201,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,l,c,Y
9210_Emmer_18596_S1_Middle_1x1_d_c,9210,Nikon,1x,1,Archive,18596,,Mid,S1,,Arch_Emmer,d,c,N
9211_Emmer_18596_S1_Middle_1x1_l_c,9211,Nikon,1x,1,Archive,18596,,Mid,S1,,Arch_Emmer,l,c,N
9212_Emmer_18596_S2_Middle_1x1_d_c,9212,Nikon,1x,1,Archive,18596,,Mid,S2,,Arch_Emmer,d,c,N
9213_Emmer_18596_S2_Middle_1x1_l_c,9213,Nikon,1x,1,Archive,18596,,Mid,S2,,Arch_Emmer,l,c,N
9214_Emmer_18596_S3_Middle_1x1_d_c,9214,Nikon,1x,1,Archive,18596,,Mid,S3,,Arch_Emmer,d,c,N
9215_Emmer_18596_S3_Middle_1x1_l_c,9215,Nikon,1x,1,Archive,18596,,Mid,S3,,Arch_Emmer,l,c,N
9216_Emmer_18596_S4_Middle_1x1_d_c,9216,Nikon,1x,1,Archive,18596,,Mid,S4,,Arch_Emmer,d,c,N
9217_Emmer_18596_S4_Middle_1x1_l_c,9217,Nikon,1x,1,Archive,18596,,Mid,S4,,Arch_Emmer,l,c,N
9220_Emmer_18596_S6_Middle_1x1_d_c,9220,Nikon,1x,1,Archive,18596,,Mid,S6,,Arch_Emmer,d,c,N
9221_Emmer_18596_S6_Middle_1x1_l_c,9221,Nikon,1x,1,Archive,18596,,Mid,S6,,Arch_Emmer,l,c,N
9222_Emmer_18596_S7_Middle_1x1_d_c,9222,Nikon,1x,1,Archive,18596,,Mid,S7,,Arch_Emmer,d,c,N
9223_Emmer_18596_S7_Middle_1x1_l_c,9223,Nikon,1x,1,Archive,18596,,Mid,S7,,Arch_Emmer,l,c,N
9224_Emmer_18596_S8_Middle_1x1_d_c,9224,Nikon,1x,1,Archive,18596,,Middle,S8,,Arch_Emmer,d,c,N
9225_Emmer_18596_S8_Middle_1x1_l_c,9225,Nikon,1x,1,Archive,18596,,Middle,S8,,Arch_Emmer,l,c,N
9226_Emmer_18596_S9_Middle_1x1_d_c,9226,Nikon,1x,1,Archive,18596,,Mid,S9,,Arch_Emmer,d,c,N
9227_Emmer_18596_S9_Middle_1x1_l_c,9227,Nikon,1x,1,Archive,18596,,Mid,S9,,Arch_Emmer,l,c,N
9228_Emmer_18596_S10_Middle_1x1_d_c,9228,Nikon,1x,1,Archive,18596,,Mid,S10,,Arch_Emmer,d,c,N
9229_Emmer_18596_S10_Middle_1x1_l_c,9229,Nikon,1x,1,Archive,18596,,Mid,S10,,Arch_Emmer,l,c,N
9230_Emmer_18596_S11_Middle_1x1_d_c,9230,Nikon,1x,1,Archive,18596,,Mid,S11,,Arch_Emmer,d,c,N
9231_Emmer_18596_S11_Middle_1x1_l_c,9231,Nikon,1x,1,Archive,18596,,Mid,S11,,Arch_Emmer,l,c,N
9232_Emmer_18596_S12_Middle_1x1_d_c,9232,Nikon,1x,1,Archive,18596,,Mid,S12,,Arch_Emmer,d,c,N
9233_Emmer_18596_S12_Middle_1x1_l_c,9233,Nikon,1x,1,Archive,18596,,Mid,S12,,Arch_Emmer,l,c,N
