Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
9000_New_2845_S1_Early_1x1.25_d_c,9000,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,d,c
9001_New_2845_S1_Early_1x1.25_l_c,9001,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,l,c
9003_New_2845_S2_Early_1x1.25_d_c,9003,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,d,c
9004_New_2845_S2_Early_1x1.25_l_c,9004,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,l,c
9021_New_30785_S1_Late_1x1.25_d_c,9021,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,d,c
9022_New_30785_S1_Late_1x1.25_l_c,9022,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,l,c
9024_New_30785_S2_Late_1x1.25_d_c,9024,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,d,c
9025_New_30785_S2_Late_1x1.25_l_c,9025,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,l,c
9027_New_30785_S3_Late_1x1.25_d_c,9027,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,d,c
9028_New_30785_S3_Late_1x1.25_l_c,9028,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,l,c
9036_New_20703_S3_Late_1x1.25_d_c,9036,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,d,c
9037_New_20703_S3_Late_1x1.25_l_c,9037,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,l,c
9048_New_22637_S1_Middle_1x1.25_d_c,9048,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,d,c
9049_New_22637_S1_Middle_1x1.25_l_c,9049,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,l,c
9057_cf New_5314_S1_Early_1x1.25_d_c,9057,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,d,c
9058_cf New_5314_S1_Early_1x1.25_l_c,9058,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,l,c
9114_Emmer_1255_S5_Middle_1x1.25_d_c,9114,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,d,c
9115_Emmer_1255_S5_Middle_1x1.25_l_c,9115,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,l,c
9141_Emmer_20703_S3_Late_1x1.25_d_c,9141,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,d,c
9142_Emmer_20703_S3_Late_1x1.25_l_c,9142,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,l,c
9144_Not ID_32837_S3_Late_1x1.25_d_c,9144,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,d,c
9145_Not ID_32837_S3_Late_1x1.25_l_c,9145,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,l,c
9156_EmmerORNew_3705_S1_Early_1x1_d_c,9156,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,d,c
9157_EmmerORNew_3705_S1_Early_1x1_l_c,9157,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,l,c
9158_New_22656_S4_Middle_1x1_d_c,9158,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,d,c
9159_New_22656_S4_Middle_1x1_l_c,9159,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,l,c
9160_New_22656_S5_Middle_1x1_d_c,9160,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,d,c
9161_New_22656_S5_Middle_1x1_l_c,9161,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,l,c
9162_New_22656_S6_Middle_1x1_d_c,9162,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,d,c
9163_New_22656_S6_Middle_1x1_l_c,9163,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,l,c
9166_New_22656_S8_Middle_1x1_d_c,9166,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,d,c
9167_New_22656_S8_Middle_1x1_l_c,9167,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,l,c
9168_New_22656_S9_Middle_1x1_d_c,9168,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,d,c
9169_New_22656_S9_Middle_1x1_l_c,9169,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,l,c
9174_New_22656_S12_Middle_1x1_d_c,9174,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,d,c
9175_New_22656_S12_Middle_1x1_l_c,9175,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,l,c
9186_New_20703_S4_Late_1x1_d_c,9186,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,d,c
9187_New_20703_S4_Late_1x1_l_c,9187,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,l,c
9188_New_20703_S5_Late_1x1_d_c,9188,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,d,c
9189_New_20703_S5_Late_1x1_l_c,9189,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,l,c
9190_New_20703_S6_Late_1x1_d_c,9190,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,d,c
9191_New_20703_S6_Late_1x1_l_c,9191,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,l,c
9192_New_20703_S7_Late_1x1_d_c,9192,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,d,c
9193_New_20703_S7_Late_1x1_l_c,9193,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,l,c
9194_New_20703_S8_Late_1x1_d_c,9194,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,d,c
9195_New_20703_S8_Late_1x1_l_c,9195,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,l,c
9200_New_20703_S11_Late_1x1_d_c,9200,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,d,c
9201_New_20703_S11_Late_1x1_l_c,9201,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,l,c
9244_cf. 2gr einkorn__S1_Early_1x1_d_c,9244,Nikon,1x,1,3297,,,Early,S1,,Arch_New,d,c
9245_cf. 2gr einkorn__S1_Early_1x1_l_c,9245,Nikon,1x,1,3297,,,Early,S1,,Arch_New,l,c
9256_New Type_20703_S4_Late_1x1_d_c,9256,Nikon,1x,1,10925,20703,,Late,S4,,Arch_New,d,c
9257_New Type_20703_S4_Late_1x1_l_c,9257,Nikon,1x,1,10925,20703,,Late,S4,,Arch_New,l,c
9258_New Type_20703_S5_Late_1x1_d_c,9258,Nikon,1x,1,10925,20703,,Late,S5,,Arch_New,d,c
9259_New Type_20703_S5_Late_1x1_l_c,9259,Nikon,1x,1,10925,20703,,Late,S5,,Arch_New,l,c
9260_New Type_20703_S6_Late_1x1_d_c,9260,Nikon,1x,1,10925,20703,,Late,S6,,Arch_New,d,c
9261_New Type_20703_S6_Late_1x1_l_c,9261,Nikon,1x,1,10925,20703,,Late,S6,,Arch_New,l,c
9262_New Type_20703_S7_Late_1x1_d_c,9262,Nikon,1x,1,10925,20703,,Late,S7,,Arch_New,d,c
9263_New Type_20703_S7_Late_1x1_l_c,9263,Nikon,1x,1,10925,20703,,Late,S7,,Arch_New,l,c
9264_New Type_20703_S8_Late_1x1_d_c,9264,Nikon,1x,1,10925,20703,,Late,S8,,Arch_New,d,c
9265_New Type_20703_S8_Late_1x1_l_c,9265,Nikon,1x,1,10925,20703,,Late,S8,,Arch_New,l,c
9268_New Type_20703_S10_Late_1x1_d_c,9268,Nikon,1x,1,10925,20703,,Late,S10,,Arch_New,d,c
9269_New Type_20703_S10_Late_1x1_l_c,9269,Nikon,1x,1,10925,20703,,Late,S10,,Arch_New,l,c
9270_New Type_20703_S11_Late_1x1_d_c,9270,Nikon,1x,1,10925,20703,,Late,S11,,Arch_New,d,c
9271_New Type_20703_S11_Late_1x1_l_c,9271,Nikon,1x,1,10925,20703,,Late,S11,,Arch_New,l,c
9274_New Type_20703_S13_Late_1x1_d_c,9274,Nikon,1x,1,10925,20703,,Late,S13,,Arch_New,d,c
9275_New Type_20703_S13_Late_1x1_l_c,9275,Nikon,1x,1,10925,20703,,Late,S13,,Arch_New,l,c
9288_New Type_20789_S1_Late_1x1_d_c,9288,Nikon,1x,1,12972,20789,,Late,S1,,Arch_New,d,c
9289_New Type_20789_S1_Late_1x1_l_c,9289,Nikon,1x,1,12972,20789,,Late,S1,,Arch_New,l,c
9290_New Type_20789_S2_Late_1x1_d_c,9290,Nikon,1x,1,12972,20789,,Late,S2,,Arch_New,d,c
9291_New Type_20789_S2_Late_1x1_l_c,9291,Nikon,1x,1,12972,20789,,Late,S2,,Arch_New,l,c
9308_cf New Type_22850_S1_Late_1x1_d_c,9308,Nikon,1x,1,12278,22850,,Late,S1,,Arch_New,d,c
9309_cf New Type_22850_S1_Late_1x1_l_c,9309,Nikon,1x,1,12278,22850,,Late,S1,,Arch_New,l,c
9310_cf New Type_22850_S2_Late_1x1_d_c,9310,Nikon,1x,1,12278,22850,,Late,S2,,Arch_New,d,c
9311_cf New Type_22850_S2_Late_1x1_l_c,9311,Nikon,1x,1,12278,22850,,Late,S2,,Arch_New,l,c
9316_New Type_16480_S5_Middle_1x1_d_c,9316,Nikon,1x,1,8413,16480,,Middle,S5,,Arch_New,d,c
9317_New Type_16480_S5_Middle_1x1_l_c,9317,Nikon,1x,1,8413,16480,,Middle,S5,,Arch_New,l,c
9342_New Type_16480_S18_Middle_1x1_d_c,9342,Nikon,1x,1,8413,16480,,Middle,S18,,Arch_New,d,c
9343_New Type_16480_S18_Middle_1x1_l_c,9343,Nikon,1x,1,8413,16480,,Middle,S18,,Arch_New,l,c
9344_New Type_16480_S19_Middle_1x1_d_c,9344,Nikon,1x,1,8413,16480,,Middle,S19,,Arch_New,d,c
9345_New Type_16480_S19_Middle_1x1_l_c,9345,Nikon,1x,1,8413,16480,,Middle,S19,,Arch_New,l,c
9346_New Type_16480_S20_Middle_1x1_d_c,9346,Nikon,1x,1,8413,16480,,Middle,S20,,Arch_New,d,c
9347_New Type_16480_S20_Middle_1x1_l_c,9347,Nikon,1x,1,8413,16480,,Middle,S20,,Arch_New,l,c
9350_New Type_22637_S4_Middle_1x1_d_c,9350,Nikon,1x,1,12015,22637,,Mid,S4,,Arch_New,d,c
9351_New Type_22637_S4_Middle_1x1_l_c,9351,Nikon,1x,1,12015,22637,,Mid,S4,,Arch_New,l,c
9352_New Type_22637_S5_Middle_1x1_d_c,9352,Nikon,1x,1,12015,22637,,Mid,S5,,Arch_New,d,c
9353_New Type_22637_S5_Middle_1x1_l_c,9353,Nikon,1x,1,12015,22637,,Mid,S5,,Arch_New,l,c
9354_New Type_22637_S6_Middle_1x1_d_c,9354,Nikon,1x,1,12015,22637,,Mid,S6,,Arch_New,d,c
9355_New Type_22637_S6_Middle_1x1_l_c,9355,Nikon,1x,1,12015,22637,,Mid,S6,,Arch_New,l,c
9356_New Type_22637_S7_Middle_1x1_d_c,9356,Nikon,1x,1,12015,22637,,Mid,S7,,Arch_New,d,c
9357_New Type_22637_S7_Middle_1x1_l_c,9357,Nikon,1x,1,12015,22637,,Mid,S7,,Arch_New,l,c
9358_New Type_22637_S8_Middle_1x1_d_c,9358,Nikon,1x,1,12015,22637,,Mid,S8,,Arch_New,d,c
9359_New Type_22637_S8_Middle_1x1_l_c,9359,Nikon,1x,1,12015,22637,,Mid,S8,,Arch_New,l,c
9360_New Type_22637_S9_Middle_1x1_d_c,9360,Nikon,1x,1,12015,22637,,Mid,S9,,Arch_New,d,c
9361_New Type_22637_S9_Middle_1x1_l_c,9361,Nikon,1x,1,12015,22637,,Mid,S9,,Arch_New,l,c
9362_New Type_22637_S10_Middle_1x1_d_c,9362,Nikon,1x,1,12015,22637,,Mid,S10,,Arch_New,d,c
9363_New Type_22637_S10_Middle_1x1_l_c,9363,Nikon,1x,1,12015,22637,,Mid,S10,,Arch_New,l,c
9364_New Type_22637_S11_Middle_1x1_d_c,9364,Nikon,1x,1,12015,22637,,Mid,S11,,Arch_New,d,c
9365_New Type_22637_S11_Middle_1x1_l_c,9365,Nikon,1x,1,12015,22637,,Mid,S11,,Arch_New,l,c
9368_New Type_22637_S13_Middle_1x1_d_c,9368,Nikon,1x,1,12015,22637,,Mid,S13,,Arch_New,d,c
9369_New Type_22637_S13_Middle_1x1_l_c,9369,Nikon,1x,1,12015,22637,,Mid,S13,,Arch_New,l,c
9370_New Type_22637_S14_Middle_1x1_d_c,9370,Nikon,1x,1,12015,22637,,Mid,S14,,Arch_New,d,c
9371_New Type_22637_S14_Middle_1x1_l_c,9371,Nikon,1x,1,12015,22637,,Mid,S14,,Arch_New,l,c
9372_New Type_22637_S15_Middle_1x1_d_c,9372,Nikon,1x,1,12015,22637,,Mid,S15,,Arch_New,d,c
