A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.097429313,0.041993511,0.029171383,-0.017911802,0.013461474,-0.004070492,0.003836812,-0.000694311,-1.702180069,-0.035153937,-0.184874795,0.003506568,-0.044609933,-0.000790764,-0.01852105,0.008360616,3.354995467,-0.00979996,0.265024256,-0.007560061,0.062213501,-4.51E-03,0.019396153,-0.00098093,0.189815419,-0.010799042,0.046040693,-0.007263758,0.01895085,-0.000724944,0.009891385,0.000116442
0.051977242,0.034319828,0.014424337,-0.017189791,0.009512785,-0.004030135,-0.002498232,0.002315305,-1.707020462,-0.037397828,-0.189395598,0.003463298,-0.048220171,-0.002323454,-0.018216418,0.008786459,3.382472291,-0.010646882,0.270946982,-0.009321332,0.064955346,-0.006046572,0.021616759,-0.002327661,0.080752966,-0.008051074,0.018779367,-0.004150035,0.006726216,0.001628873,0.003872903,0.001055559
0.070064809,0.03422067,0.02231737,-0.01561131,0.013231086,-0.003859825,-0.001364193,-0.001810171,-1.704335418,-0.038433772,-0.188493293,0.006797463,-0.04821639,-0.003950675,-0.016554438,0.009184604,3.377025555,-0.010301356,0.270410996,-0.00801479,0.064355605,-0.00499654,0.021891135,-0.001742653,0.121215827,-0.008087911,0.02794506,-0.005665651,0.00941265,0.000143886,0.004758976,0.000775506
0.075103927,0.041359527,0.02071663,-0.017899659,0.010192259,-0.006828165,-0.00039972,0.000506151,-1.712797784,-0.039012516,-0.185107709,0.006540611,-0.045083511,-0.001808453,-0.02007115,0.007678643,3.369652334,-0.010702457,0.268934902,-0.007933922,0.06554809,-0.004538649,0.022027975,-0.001547528,0.11600022,-0.010861781,0.025833972,-0.007258877,0.009135788,0.000298891,0.004989072,0.001194041
0.072339217,0.039537778,0.033089921,-0.017673554,0.016341858,-0.007124394,0.004979578,0.000247141,-1.734482104,-0.039826917,-0.186107559,0.010347189,-0.046265401,-0.001426854,-0.019232385,0.006046853,3.386938978,-0.010453487,0.265866371,-0.006800755,0.062009667,-0.002835768,0.019053261,-0.000743932,0.172297446,-0.011120643,0.041354461,-0.006897408,0.014506757,0.000333109,0.005926015,0.001370383
0.073481888,-0.001766986,0.019416425,-0.01294147,-0.00735213,-0.001656716,-0.004572092,-0.001403182,-1.926666395,-0.005094847,-0.207509738,0.007352505,-0.048262522,-0.010359689,-0.016379727,5.21E-05,3.474819464,-0.002622115,0.247774449,0.000304538,0.046165922,-0.002166157,0.007886089,-0.003930688,0.04401524,0.00039159,0.000712926,0.004655705,-0.000953685,0.006600437,0.002292032,0.005462112
0.098455574,0.005678701,0.048707992,-0.02005503,0.007787745,0.000526436,0.003515063,0.00031289,-1.970983133,-0.004692238,-0.197195124,0.002805961,-0.056270006,-0.00835439,-0.015387072,-0.000223397,3.510447939,-0.001807843,0.246040794,-0.00135942,0.042898427,-0.003926746,0.003693119,-0.004901012,0.205822887,-0.004490772,0.04195771,0.003295892,0.012160874,0.006710397,0.003918387,0.004256923
0.011944226,0.00093606,0.016255981,-0.015015485,-0.005080872,-0.002657003,-0.004217529,0.00064387,-1.949637002,-0.00106694,-0.206736551,0.007305959,-0.053688464,-0.008164278,-0.01699707,0.001848473,3.498899215,-0.002012995,0.247792642,0.000802242,0.043328513,-0.001049621,0.004610394,-0.001742333,0.025848418,-0.000599446,0.001833907,0.004952054,-5.92E-05,0.007351396,0.001990915,0.005814016
0.075392561,-0.006175898,0.052848301,-0.010344276,0.006378092,0.001142837,7.36E-05,-0.004102514,-1.925541075,-0.003262061,-0.207431887,0.005367438,-0.055237201,-0.008485044,-0.016373005,-0.000764645,3.488149855,-0.001716196,0.246132966,2.04E-05,0.041738377,-0.001784125,0.00339445,-0.003687748,0.190917443,0.001577434,0.038179151,0.005159327,0.009438629,0.005148268,0.003292038,0.004699322
0.155753137,0.004157572,0.065826931,-0.019132314,0.020028921,0.002925054,0.006822564,-0.001586079,-1.979652246,-0.004026422,-0.194255221,0.002704988,-0.052785266,-0.007766811,-0.014744311,0.000659198,3.526216134,-0.000792898,0.241827777,-0.000398608,0.040083176,-0.003490181,0.002952451,-0.00455323,0.316285739,-0.002180939,0.065185025,0.004654413,0.017677839,0.00656377,0.00324398,0.00415943
