Filename,Grain,Session,View
2761_TRI17251_B_R1_2of2_Tdicm_1x1_d_c,1,1,d
2761_TRI17251_B_R1_2of2_Tdicm_1x1_d_cv2,1,2,d
2761_TRI17251_B_R1_2of2_Tdicm_1x1_d_cv3,1,3,d
2761_TRI17251_B_R1_2of2_Tdicm_1x1_d_cv4,1,4,d
2761_TRI17251_B_R1_2of2_Tdicm_1x1_d_cv5,1,5,d
2762_TRI17251_B_R1_2of2_Tdicm_1x1_l_c,1,1,l
2762_TRI17251_B_R1_2of2_Tdicm_1x1_l_cv2,1,2,l
2762_TRI17251_B_R1_2of2_Tdicm_1x1_l_cv3,1,3,l
2762_TRI17251_B_R1_2of2_Tdicm_1x1_l_cv4,1,4,l
2762_TRI17251_B_R1_2of2_Tdicm_1x1_l_cv5,1,5,l
2770_TRI17251_B_R11_2of2_Tdicm_1x1_d_c,2,1,d
2770_TRI17251_B_R11_2of2_Tdicm_1x1_d_cv2,2,2,d
2770_TRI17251_B_R11_2of2_Tdicm_1x1_d_cv3,2,3,d
2770_TRI17251_B_R11_2of2_Tdicm_1x1_d_cv4,2,4,d
2770_TRI17251_B_R11_2of2_Tdicm_1x1_d_cv5,2,5,d
2771_TRI17251_B_R11_2of2_Tdicm_1x1_l_c,2,1,l
2771_TRI17251_B_R11_2of2_Tdicm_1x1_l_cv2,2,2,l
2771_TRI17251_B_R11_2of2_Tdicm_1x1_l_cv3,2,3,l
2771_TRI17251_B_R11_2of2_Tdicm_1x1_l_cv4,2,4,l
2771_TRI17251_B_R11_2of2_Tdicm_1x1_l_cv5,2,5,l
2773_TRI17251_B_R12_1of2_Tdicm_1x1_d_c,3,1,d
2773_TRI17251_B_R12_1of2_Tdicm_1x1_d_cv2,3,2,d
2773_TRI17251_B_R12_1of2_Tdicm_1x1_d_cv3,3,3,d
2773_TRI17251_B_R12_1of2_Tdicm_1x1_d_cv4,3,4,d
2773_TRI17251_B_R12_1of2_Tdicm_1x1_d_cv5,3,5,d
2774_TRI17251_B_R12_1of2_Tdicm_1x1_l_c,3,1,l
2774_TRI17251_B_R12_1of2_Tdicm_1x1_l_cv2,3,2,l
2774_TRI17251_B_R12_1of2_Tdicm_1x1_l_cv3,3,3,l
2774_TRI17251_B_R12_1of2_Tdicm_1x1_l_cv4,3,4,l
2774_TRI17251_B_R12_1of2_Tdicm_1x1_l_cv5,3,5,l
2779_TRI17251_B_R20_2of2_Tdicm_1x1_d_c,4,1,d
2779_TRI17251_B_R20_2of2_Tdicm_1x1_d_cv2,4,2,d
2779_TRI17251_B_R20_2of2_Tdicm_1x1_d_cv3,4,3,d
2779_TRI17251_B_R20_2of2_Tdicm_1x1_d_cv4,4,4,d
2779_TRI17251_B_R20_2of2_Tdicm_1x1_d_cv5,4,5,d
2780_TRI17251_B_R20_2of2_Tdicm_1x1_l_c,4,1,l
2780_TRI17251_B_R20_2of2_Tdicm_1x1_l_cv2,4,2,l
2780_TRI17251_B_R20_2of2_Tdicm_1x1_l_cv3,4,3,l
2780_TRI17251_B_R20_2of2_Tdicm_1x1_l_cv4,4,4,l
2780_TRI17251_B_R20_2of2_Tdicm_1x1_l_cv4,4,5,l
2782_TRI17251_B_R21_1of1_Tdicm_1x1_d_c,5,1,d
2782_TRI17251_B_R21_1of1_Tdicm_1x1_d_cv2,5,2,d
2782_TRI17251_B_R21_1of1_Tdicm_1x1_d_cv3,5,3,d
2782_TRI17251_B_R21_1of1_Tdicm_1x1_d_cv4,5,4,d
2782_TRI17251_B_R21_1of1_Tdicm_1x1_d_cv5,5,5,d
2783_TRI17251_B_R21_1of1_Tdicm_1x1_l_c,5,1,l
2783_TRI17251_B_R21_1of1_Tdicm_1x1_l_cv2,5,2,l
2783_TRI17251_B_R21_1of1_Tdicm_1x1_l_cv3,5,3,l
2783_TRI17251_B_R21_1of1_Tdicm_1x1_l_cv4,5,4,l
2783_TRI17251_B_R21_1of1_Tdicm_1x1_l_cv5,5,5,l
