Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
1516_TRI17251_A_R1_1of1_Tdicm_1x1_d_c,1516,Nikon,1x,1,TRI17251,A,R1,Base,1of1,Solo,Tdicm,d,c
1517_TRI17251_A_R1_1of1_Tdicm_1x1_l_c,1517,Nikon,1x,1,TRI17251,A,R1,Base,1of1,Solo,Tdicm,l,c
1519_TRI17251_A_R2_1of1_Tdicm_1x1_d_c,1519,Nikon,1x,1,TRI17251,A,R2,Base,1of1,Solo,Tdicm,d,c
1520_TRI17251_A_R2_1of1_Tdicm_1x1_l_c,1520,Nikon,1x,1,TRI17251,A,R2,Base,1of1,Solo,Tdicm,l,c
1522_TRI17251_A_R3_1of2_Tdicm_1x1_d_c,1522,Nikon,1x,1,TRI17251,A,R3,Base,1of2,External,Tdicm,d,c
1523_TRI17251_A_R3_1of2_Tdicm_1x1_l_c,1523,Nikon,1x,1,TRI17251,A,R3,Base,1of2,External,Tdicm,l,c
1525_TRI17251_A_R9_1of1_Tdicm_1x1_d_c,1525,Nikon,1x,1,TRI17251,A,R9,Mid,1of1,Solo,Tdicm,d,c
1526_TRI17251_A_R9_1of1_Tdicm_1x1_l_c,1526,Nikon,1x,1,TRI17251,A,R9,Mid,1of1,Solo,Tdicm,l,c
1528_TRI17251_A_R10_1of2_Tdicm_1x1_d_c,1528,Nikon,1x,1,TRI17251,A,R10,Mid,1of2,External,Tdicm,d,c
1529_TRI17251_A_R10_1of2_Tdicm_1x1_l_c,1529,Nikon,1x,1,TRI17251,A,R10,Mid,1of2,External,Tdicm,l,c
1531_TRI17251_A_R10_2of2_Tdicm_1x1_d_c,1531,Nikon,1x,1,TRI17251,A,R10,Mid,2of2,External,Tdicm,d,c
1532_TRI17251_A_R10_2of2_Tdicm_1x1_l_c,1532,Nikon,1x,1,TRI17251,A,R10,Mid,2of2,External,Tdicm,l,c
1534_TRI17251_A_R17_1of2_Tdicm_1x1_d_c,1534,Nikon,1x,1,TRI17251,A,R17,Top,1of2,External,Tdicm,d,c
1535_TRI17251_A_R17_1of2_Tdicm_1x1_l_c,1535,Nikon,1x,1,TRI17251,A,R17,Top,1of2,External,Tdicm,l,c
1537_TRI17251_A_R18_1of2_Tdicm_1x1_d_c,1537,Nikon,1x,1,TRI17251,A,R18,Top,1of2,External,Tdicm,d,c
1538_TRI17251_A_R18_1of2_Tdicm_1x1_l_c,1538,Nikon,1x,1,TRI17251,A,R18,Top,1of2,External,Tdicm,l,c
1540_TRI17251_A_R18_2of2_Tdicm_1x1_d_c,1540,Nikon,1x,1,TRI17251,A,R18,Top,2of2,External,Tdicm,d,c
1541_TRI17251_A_R18_2of2_Tdicm_1x1_l_c,1541,Nikon,1x,1,TRI17251,A,R18,Top,2of2,External,Tdicm,l,c
1543_TRI677_A_R1_1of2_Timo_1x1_d_c,1543,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,d,c
1544_TRI677_A_R1_1of2_Timo_1x1_l_c,1544,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,l,c
1546_TRI677_A_R1_2of2_Timo_1x1_d_c,1546,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,d,c
1547_TRI677_A_R1_2of2_Timo_1x1_l_c,1547,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,l,c
1549_TRI677_A_R2_1of2_Timo_1x1_d_c,1549,Nikon,1x,1,TRI677,A,R2,Base,1of2,External,Timo,d,c
1550_TRI677_A_R2_1of2_Timo_1x1_l_c,1550,Nikon,1x,1,TRI677,A,R2,Base,1of2,External,Timo,l,c
1552_TRI677_A_R7_1of2_Timo_1x1_d_c,1552,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,d,c
1553_TRI677_A_R7_1of2_Timo_1x1_l_c,1553,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,l,c
1555_TRI677_A_R7_2of2_Timo_1x1_d_c,1555,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,d,c
1556_TRI677_A_R7_2of2_Timo_1x1_l_c,1556,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,l,c
1558_TRI677_A_R8_2of2_Timo_1x1_d_c,1558,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,d,c
1559_TRI677_A_R8_2of2_Timo_1x1_l_c,1559,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,l,c
1561_TRI677_A_R13_1of2_Timo_1x1_d_c,1561,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,d,c
1562_TRI677_A_R13_1of2_Timo_1x1_l_c,1562,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,l,c
1564_TRI677_A_R13_2of2_Timo_1x1_d_c,1564,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,d,c
