Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
1516_TRI17251_A_R1_1of1_Tdicm_1x1_d_c,1516,Nikon,1x,1,TRI17251,A,R1,Base,1of1,Solo,Tdicm,d,c
1517_TRI17251_A_R1_1of1_Tdicm_1x1_l_c,1517,Nikon,1x,1,TRI17251,A,R1,Base,1of1,Solo,Tdicm,l,c
1518_TRI17251_A_R1_1of1_Tdicm_1x1_p_c,1518,Nikon,1x,1,TRI17251,A,R1,Base,1of1,Solo,Tdicm,p,c
1519_TRI17251_A_R2_1of1_Tdicm_1x1_d_c,1519,Nikon,1x,1,TRI17251,A,R2,Base,1of1,Solo,Tdicm,d,c
1520_TRI17251_A_R2_1of1_Tdicm_1x1_l_c,1520,Nikon,1x,1,TRI17251,A,R2,Base,1of1,Solo,Tdicm,l,c
1521_TRI17251_A_R2_1of1_Tdicm_1x1_p_c,1521,Nikon,1x,1,TRI17251,A,R2,Base,1of1,Solo,Tdicm,p,c
1522_TRI17251_A_R3_1of2_Tdicm_1x1_d_c,1522,Nikon,1x,1,TRI17251,A,R3,Base,1of2,External,Tdicm,d,c
1523_TRI17251_A_R3_1of2_Tdicm_1x1_l_c,1523,Nikon,1x,1,TRI17251,A,R3,Base,1of2,External,Tdicm,l,c
1524_TRI17251_A_R3_1of2_Tdicm_1x1_p_c,1524,Nikon,1x,1,TRI17251,A,R3,Base,1of2,External,Tdicm,p,c
1525_TRI17251_A_R9_1of1_Tdicm_1x1_d_c,1525,Nikon,1x,1,TRI17251,A,R9,Mid,1of1,Solo,Tdicm,d,c
1526_TRI17251_A_R9_1of1_Tdicm_1x1_l_c,1526,Nikon,1x,1,TRI17251,A,R9,Mid,1of1,Solo,Tdicm,l,c
1527_TRI17251_A_R9_1of1_Tdicm_1x1_p_c,1527,Nikon,1x,1,TRI17251,A,R9,Mid,1of1,Solo,Tdicm,p,c
1528_TRI17251_A_R10_1of2_Tdicm_1x1_d_c,1528,Nikon,1x,1,TRI17251,A,R10,Mid,1of2,External,Tdicm,d,c
1529_TRI17251_A_R10_1of2_Tdicm_1x1_l_c,1529,Nikon,1x,1,TRI17251,A,R10,Mid,1of2,External,Tdicm,l,c
1530_TRI17251_A_R10_1of2_Tdicm_1x1_p_c,1530,Nikon,1x,1,TRI17251,A,R10,Mid,1of2,External,Tdicm,p,c
1531_TRI17251_A_R10_2of2_Tdicm_1x1_d_c,1531,Nikon,1x,1,TRI17251,A,R10,Mid,2of2,External,Tdicm,d,c
1532_TRI17251_A_R10_2of2_Tdicm_1x1_l_c,1532,Nikon,1x,1,TRI17251,A,R10,Mid,2of2,External,Tdicm,l,c
1533_TRI17251_A_R10_2of2_Tdicm_1x1_p_c,1533,Nikon,1x,1,TRI17251,A,R10,Mid,2of2,External,Tdicm,p,c
1534_TRI17251_A_R17_1of2_Tdicm_1x1_d_c,1534,Nikon,1x,1,TRI17251,A,R17,Top,1of2,External,Tdicm,d,c
1535_TRI17251_A_R17_1of2_Tdicm_1x1_l_c,1535,Nikon,1x,1,TRI17251,A,R17,Top,1of2,External,Tdicm,l,c
1536_TRI17251_A_R17_1of2_Tdicm_1x1_p_c,1536,Nikon,1x,1,TRI17251,A,R17,Top,1of2,External,Tdicm,p,c
1537_TRI17251_A_R18_1of2_Tdicm_1x1_d_c,1537,Nikon,1x,1,TRI17251,A,R18,Top,1of2,External,Tdicm,d,c
1538_TRI17251_A_R18_1of2_Tdicm_1x1_l_c,1538,Nikon,1x,1,TRI17251,A,R18,Top,1of2,External,Tdicm,l,c
1539_TRI17251_A_R18_1of2_Tdicm_1x1_p_c,1539,Nikon,1x,1,TRI17251,A,R18,Top,1of2,External,Tdicm,p,c
1540_TRI17251_A_R18_2of2_Tdicm_1x1_d_c,1540,Nikon,1x,1,TRI17251,A,R18,Top,2of2,External,Tdicm,d,c
1541_TRI17251_A_R18_2of2_Tdicm_1x1_l_c,1541,Nikon,1x,1,TRI17251,A,R18,Top,2of2,External,Tdicm,l,c
1542_TRI17251_A_R18_2of2_Tdicm_1x1_p_c,1542,Nikon,1x,1,TRI17251,A,R18,Top,2of2,External,Tdicm,p,c
1543_TRI677_A_R1_1of2_Timo_1x1_d_c,1543,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,d,c
1544_TRI677_A_R1_1of2_Timo_1x1_l_c,1544,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,l,c
1545_TRI677_A_R1_1of2_Timo_1x1_p_c,1545,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,p,c
1546_TRI677_A_R1_2of2_Timo_1x1_d_c,1546,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,d,c
1547_TRI677_A_R1_2of2_Timo_1x1_l_c,1547,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,l,c
