Filename,Identifier,Microscope,Objective,Mag,Accession,EarBundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
1189_TRI677_A_R1_1of2_Timo_1x1_d_uc,1189,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,d,uc
1190_TRI677_A_R1_1of2_Timo_1x1_l_uc,1190,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,l,uc
1191_TRI677_A_R1_1of2_Timo_1x1_p_uc,1191,Nikon,1x,1,TRI677,A,R1,Base,1of2,External,Timo,p,uc
1192_TRI677_A_R1_2of2_Timo_1x1_d_uc,1192,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,d,uc
1193_TRI677_A_R1_2of2_Timo_1x1_l_uc,1193,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,l,uc
1194_TRI677_A_R1_2of2_Timo_1x1_p_uc,1194,Nikon,1x,1,TRI677,A,R1,Base,2of2,External,Timo,p,uc
1195_TRI677_A_R2_1of2_Timo_1x1_d_uc,1195,Nikon,1x,1,TRI677,A,R2,Base,1of2,External,Timo,d,uc
1196_TRI677_A_R2_1of2_Timo_1x1_l_uc,1196,Nikon,1x,1,TRI677,A,R2,Base,1of2,External,Timo,l,uc
1197_TRI677_A_R2_1of2_Timo_1x1_p_uc,1197,Nikon,1x,1,TRI677,A,R2,Base,1of2,External,Timo,p,uc
1198_TRI677_A_R7_1of2_Timo_1x1_d_uc,1198,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,d,uc
1199_TRI677_A_R7_1of2_Timo_1x1_l_uc,1199,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,l,uc
1200_TRI677_A_R7_1of2_Timo_1x1_p_uc,1200,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,p,uc
1201_TRI677_A_R7_2of2_Timo_1x1_d_uc,1201,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,d,uc
1202_TRI677_A_R7_2of2_Timo_1x1_l_uc,1202,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,l,uc
1203_TRI677_A_R7_2of2_Timo_1x1_p_uc,1203,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,p,uc
1204_TRI677_A_R8_2of2_Timo_1x1_d_uc,1204,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,d,uc
1205_TRI677_A_R8_2of2_Timo_1x1_l_uc,1205,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,l,uc
1206_TRI677_A_R8_2of2_Timo_1x1_p_uc,1206,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,p,uc
1207_TRI677_A_R13_1of2_Timo_1x1_d_uc,1207,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,d,uc
1208_TRI677_A_R13_1of2_Timo_1x1_l_uc,1208,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,l,uc
1209_TRI677_A_R13_1of2_Timo_1x1_p_uc,1209,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,p,uc
1210_TRI677_A_R13_2of2_Timo_1x1_d_uc,1210,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,d,uc
1211_TRI677_A_R13_2of2_Timo_1x1_l_uc,1211,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,l,uc
1212_TRI677_A_R13_2of2_Timo_1x1_p_uc,1212,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,p,uc
1213_TRI677_A_R14_1of1_Timo_1x1_d_uc,1213,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,d,uc
1214_TRI677_A_R14_1of1_Timo_1x1_l_uc,1214,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,l,uc
1215_TRI677_A_R14_1of1_Timo_1x1_p_uc,1215,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,p,uc
1216_TRI677_B_R1_1of2_Timo_1x1_d_uc,1216,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,d,uc
1217_TRI677_B_R1_1of2_Timo_1x1_l_uc,1217,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,l,uc
1218_TRI677_B_R1_1of2_Timo_1x1_p_uc,1218,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,p,uc
